start_ns,end_ns,pc,ir,op
10.0,110.0,0x00000000,0x00000000,add
2030.0,2170.0,0x00000010,0x80880003,addi
3610.0,3750.0,0x0000001B,0x12280000,and
2450.0,2590.0,0x00000013,0x8888000F,andi
1170.0,1330.0,0x00000008,0x9A980003,brmi
1730.0,1890.0,0x0000000C,0xA0900002,brpl
4850.0,5010.0,0x00000024,0x61B80000,div
6210.0,6330.0,0x0000002A,0xCB000000,in
5570.0,5690.0,0x00000029,0xBE500000,jal
6110.0,6210.0,0x000000B6,0xC6000000,jr
390.0,570.0,0x00000003,0x72000089,ld
110.0,250.0,0x00000001,0x6A800043,ldi
4650.0,4750.0,0x00000022,0xA8800000,mfhi
4750.0,4850.0,0x00000023,0xB3000000,mflo
4490.0,4650.0,0x00000021,0x59B80000,mul
2170.0,2310.0,0x00000011,0x48880000,neg
1650.0,1730.0,0x0000000B,0xF0000000,nop
2310.0,2450.0,0x00000012,0x50880000,not
3470.0,3610.0,0x0000001A,0x1B900000,or
2730.0,2870.0,0x00000015,0x90A00005,ori
6930.0,7030.0,0x0000002F,0xD3000000,out
3330.0,3470.0,0x00000019,0x42810000,rol
2590.0,2730.0,0x00000014,0x3A010000,ror
4070.0,4210.0,0x0000001E,0x32290000,shl
3010.0,3150.0,0x00000017,0x22A90000,shr
2870.0,3010.0,0x00000016,0x2A090000,shra
3150.0,3330.0,0x00000018,0x7A8000A3,st
3930.0,4070.0,0x0000001D,0x082B8000,sub
